Raw.file,Condition,BioReplicate,run,IsotopeLabelType
metast_cSCC1.raw.thermo,metast,R1,1,L
metast_cSCC2.raw.thermo,metast,R2,2,L
metast_cSCC3.raw.thermo,metast,R3,3,L
metast_cSCC4.raw.thermo,metast,R4,4,L
metast_cSCC5.raw.thermo,metast,R5,5,L
metast_cSCC6.raw.thermo,metast,R6,6,L
metast_cSCC7.raw.thermo,metast,R7,7,L
metast_cSCC8.raw.thermo,metast,R8,8,L
metast_cSCC9.raw.thermo,metast,R9,9,L
metast_cSCC10.raw.thermo,metast,R10,10,L
metast_cSCC11.raw.thermo,metast,R11,11,L
metast_cSCC12.raw.thermo,metast,R12,12,L
metast_cSCC13.raw.thermo,metast,R13,13,L
RDEB_cSCC1.raw.thermo,RDEB,R14,14,L
RDEB_cSCC2.raw.thermo,RDEB,R15,15,L
RDEB_cSCC3.raw.thermo,RDEB,R16,16,L
RDEB_cSCC4.raw.thermo,RDEB,R17,17,L
RDEB_cSCC5.raw.thermo,RDEB,R18,18,L
RDEB_cSCC6.raw.thermo,RDEB,R19,19,L
