"","Protein","channel1","channel10","channel11","channel12","channel13","channel14","channel15","channel16","channel2","channel3","channel4","channel5","channel6","channel7","channel8","channel9"
"1","A0A024RBG1;Q9NZJ9;Q9NZJ9-2",14.0446690106854,13.515159843396,13.7513505606553,13.8911721358406,13.4693596314513,13.6465970348409,13.645729766427,13.7875117450038,14.1769146710978,14.2793504716293,14.0106659790719,14.2372656851768,14.2581595600639,14.0165365006666,14.083258039041,13.8261446092112
"2","A0A096LP01",15.5060787618718,15.2787539453613,15.4131391626769,15.4548814332878,15.2269529337281,15.4321101114042,15.2688271251522,15.3221808886083,15.3832287540772,15.6192668687796,15.5232874121541,15.3658636278643,15.726877480272,15.3859377742778,15.5966434809743,15.3142797642435
"3","A0A0B4J2E0",12.7489939427141,12.3304693891536,12.0342683454972,11.9976996835309,11.9121334297427,11.9382769571991,12.0672217972473,12.0811991890293,12.4497136373059,12.8158656884213,12.2216709125919,12.771950537105,12.7144564340498,12.2833685472923,12.4485941537361,12.362729304477
"4","A0A0B4J2F0",16.2530880062738,16.0720494005466,16.0925453861206,16.01616784265,16.0706138253275,16.0494098630235,16.1387637700121,16.2212761320986,16.0477268806042,16.3319608536361,16.0929727933028,16.3112853771735,16.1593786415842,16.1293611489875,15.97500905011,16.2265598803576
"5","A0A0U1RRE5",16.8074023421127,16.1255828754883,16.1138054854605,16.1219244568418,16.0532038556678,15.9992776811683,16.1226245383249,16.0413959464686,16.8421846967718,16.847028984718,16.7379697807598,16.7137087875899,16.8990303691732,16.6010457642725,16.7151163016998,16.1936994172223
"6","A0A0U1RRL7",13.058451818967,13.0290931162902,12.5366540637765,12.618590382649,12.2538448688921,12.5669504520137,12.5065620712436,12.6425892860735,12.66631210493,12.6868702249476,12.6830084201773,12.6895099562659,12.6296673775322,12.2696475338706,12.5153361213916,13.0409836571322
"7","A0A3B3IU46;Q9BTL3",16.536583904312,16.0195119000578,15.9902944153201,16.0566223863029,16.1301172270274,16.1372225710992,16.0528747454534,16.0075852472027,16.4781795605478,16.4824836385448,16.3534783287154,16.5780458534128,16.4886362695458,16.4352758850043,16.4820841779386,16.0749560059957
"8","A0AV96-2;A0AV96",12.1270272888983,12.3742919398687,12.242910752436,12.3103543160149,11.9798607647645,12.4216436534989,12.6398818320852,12.2045157357684,12.2364860159732,12.3907953997149,12.4275696830474,12.1563041164,12.3902465252468,12.2580765360212,12.56412442961,12.336814433122
"9","A0AVT1",16.7210597878757,17.002215711496,17.0645688647071,16.9406731804126,17.0615780818207,16.9278684908748,17.1348598884965,16.8405187534565,16.7327737676747,16.9277537859501,17.0585495273464,16.8456486441252,16.7369575248872,17.0488367054411,17.1226111164462,17.1542317195466
"10","A0AVT1;A0AVT1-2",15.5397990498364,16.159276239168,16.2203317261137,16.1706124702189,16.2870715463368,16.2309589136099,16.2452677812625,16.2399159382043,15.7040324641227,15.5410991569848,15.755256397431,15.457979379305,15.5052996814979,15.6776620714796,15.6691323188395,16.1822395177532
